[CRITICAL]2021-03-05 15:26:18,622: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
[CRITICAL]2021-03-05 15:27:40,902: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:40', 'loc', '18')
pid=11160, ppid=11232, tid=3892

[CRITICAL]2021-03-05 15:27:49,060: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:49,073: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:49,089: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:49,104: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:49,118: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:49,131: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:49', 'loc', '18')
pid=11160, ppid=11232, tid=2852

[CRITICAL]2021-03-05 15:27:57,282: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:27:57,296: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:27:57,311: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:27:57,326: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:27:57,339: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:27:57,352: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:57', 'loc', '18')
pid=11160, ppid=11232, tid=10276

[CRITICAL]2021-03-05 15:28:05,498: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:05,512: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:05,527: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:05,541: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:05,556: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:05,566: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:28:05', 'loc', '18')
pid=11160, ppid=11232, tid=8724

[CRITICAL]2021-03-05 15:28:13,714: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:13,732: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:13,748: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:13,766: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:13,784: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:13,798: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:28:13', 'loc', '18')
pid=11160, ppid=11232, tid=8372

[CRITICAL]2021-03-05 15:28:21,943: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:28:21,964: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:28:21,983: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:28:21,999: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:28:22,014: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:28:22,026: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:28:21', 'loc', '18')
pid=11160, ppid=11232, tid=1624

