[CRITICAL]2021-03-29 16:24:40,558: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:24:40,722: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:24:40,900: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:24:40,975: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:24:51,835: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:24:52,106: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:24:52,390: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:24:52,628: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:24:53,003: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:24:53,092: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:25:04,133: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:04,268: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:04,417: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:04,521: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:04,701: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:04,837: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:25:16,026: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:16,340: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:16,655: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:17,059: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:17,268: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:17,389: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:25:28,311: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:25:28,610: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:25:28,774: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

