[CRITICAL]2021-03-31 10:23:36,323: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:14,768: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:14,875: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:14,981: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:15,119: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:15,214: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:15,302: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:26,047: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:26,155: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:26,230: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:26,362: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:26,436: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:26,481: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
